ticker,date,open,high,low,close,hold_return,day_return,night_return
SPY,2022-07-08,387.269989,390.640015,385.660004,388.670013,-8.225841492733865e-4,0.0036151110072202286,-0.004421710183339034
SPY,2022-07-11,385.850006,386.869995,383.5,384.230011,-0.011423577460296652,-0.004198509718307486,-0.007255530155859891
SPY,2022-07-12,383.649994,386.160004,378.98999,380.829987,-0.0088489287735517,-0.007350467989320486,-0.0015095567326728343
SPY,2022-07-13,375.100006,381.920013,374.660004,378.829987,-0.005251687283753692,0.009943964117131943,-0.015046034176925294
SPY,2022-07-14,373.609985,379.049988,371.040009,377.910004,-0.0024284851557963005,0.011509379226039673,-0.013779273497691813
SPY,2022-07-15,382.549988,385.25,380.540009,385.130005,0.019105080372521677,0.006744261092487491,0.012278013153628864
SPY,2022-07-18,388.380005,389.089996,380.660004,381.950012,-0.008256933915081421,-0.01655593212117079,0.008438708897791525
SPY,2022-07-19,386.079987,392.869995,385.390015,392.269989,0.027019182290273003,0.016032952259708688,0.010812867836747175
SPY,2022-07-20,392.470001,396.26001,391.029999,394.769989,0.006373161521668225,0.005860289943536268,5.098835129087043e-4
SPY,2022-07-21,394.160004,398.839996,391.630005,398.790009,0.010183195562011083,0.011746511449700403,-0.0015451655824829658
SPY,2022-07-22,398.920013,400.179993,392.75,395.089996,-0.009278098539324264,-0.009600964792909505,3.259961309611814e-4
SPY,2022-07-25,395.75,396.470001,393.209991,395.570007,0.001214940911842266,-4.548149084018238e-4,0.0016705155956417972
SPY,2022-07-26,393.839996,394.059998,389.950012,390.890015,-0.011831008208870508,-0.007490303244874097,-0.0043734635320821225
SPY,2022-07-27,394.359985,402.880005,394.049988,401.040009,0.02596636805880026,0.016938899112697747,0.008877100634049118
SPY,2022-07-28,401.890015,406.799988,398.149994,406.070007,0.012542384518049454,0.01040083566146821,0.0021195042412838205
SPY,2022-07-29,407.579987,413.029999,406.769989,411.98999,0.014578725091607181,0.010819969430932774,0.0037185213730892563
SPY,2022-08-01,409.149994,413.410004,408.399994,410.769989,-0.0029612394223460514,0.003959415920216314,-0.006893361656675201
SPY,2022-08-02,409.119995,413,406.820007,408.059998,-0.006597344189134491,-0.0025909195662754403,-0.00401683191125235
SPY,2022-08-03,410.299988,415.679993,410,414.450012,0.015659496229277536,0.010114609118633489,0.005489364336074942
SPY,2022-08-04,414.369995,415.089996,412.440002,414.170013,-6.755917285388158e-4,-4.826169906438915e-4,-1.9306791575146587e-4
SPY,2022-08-05,409.660004,414.149994,409.600006,413.470001,-0.0016901561629957262,0.009300388035928364,-0.01088926976468474
SPY,2022-08-08,415.25,417.619995,411.829987,412.98999,-0.0011609330757711422,-0.0054425285972306,0.004305025747200375
SPY,2022-08-09,412.220001,412.75,410.220001,411.350006,-0.003971001815322395,-0.0021105113723000057,-0.0018644253338923056
SPY,2022-08-10,418.779999,420.140015,416.720001,419.98999,0.021003971980007696,0.0028893237568397012,0.018062459928589236
SPY,2022-08-11,422.98999,424.950012,419.209991,419.98999,0,-0.007092366417465357,0.007143027385009715
SPY,2022-08-12,422.029999,427.209991,421.029999,427.100006,0.016929012998619486,0.012013380593828504,0.0048572800508888125
SPY,2022-08-15,424.769989,429.410004,424.709991,428.859985,0.004120765570768903,0.009628731091922749,-0.005455436589246965
SPY,2022-08-16,427.730011,431.730011,426.880005,429.700012,0.00195874418080777,0.004605711428558257,-0.0026348319720246316
SPY,2022-08-17,425.910004,429.5,424.540009,426.649994,-0.00709801702309476,0.0017374327746477736,-0.008820125422756564
SPY,2022-08-18,426.859985,428.609985,425.5,427.890015,0.00290641279137116,0.002413039488815105,4.921856391728596e-4
SPY,2022-08-19,424.980011,425.26001,421.220001,422.140015,-0.013438032668278033,-0.006682657834464534,-0.006800822402925233
SPY,2022-08-22,417.049988,417.230011,412.399994,413.350006,-0.02082249653589463,-0.008871795004103844,-0.012057674750402425
SPY,2022-08-23,412.899994,415.420013,411.769989,412.350006,-0.0024192572528957124,-0.0013320126132042587,-0.0010886947948901549
SPY,2022-08-24,412.109985,415.109985,411.390015,413.670013,0.0032011809889485043,0.0037854651835236286,-5.820807481691226e-4
SPY,2022-08-25,415.23999,419.559998,414.089996,419.51001,0.014117525603674963,0.010283258122610217,0.0037952400480139037
SPY,2022-08-26,419.390015,419.959991,405.25,405.309998,-0.03384904212416773,-0.03357260901883896,-2.860360829054498e-4
SPY,2022-08-29,402.200012,405.839996,401.200012,402.630005,-0.006612205504982427,0.0010691024047009279,-0.007673104575130596
SPY,2022-08-30,403.850006,404.100006,396,398.209991,-0.010977855463106811,-0.013965618215194486,0.0030300796881743697
